# Licensed under Apache License 2.0 — https://www.apache.org/licenses/LICENSE-2.0
# Copyright 2026 SemiAnalysis LLC. Data from InferenceX (https://github.com/SemiAnalysisAI/InferenceX).
# Attribution to InferenceX is required for any derivative work.
Model,ISL,OSL,Hardware,Hardware Key,Framework,Precision,TP,Concurrency,Date,Token Throughput per All in Utility MW (tok/s/MW),Interactivity (tok/s/user),Throughput/Chip (tok/s),Output Throughput/Chip (tok/s),Input Throughput/Chip (tok/s),Mean TTFT (s),Median TTFT (s),P99 TTFT (s),Std TTFT (s),Mean TPOT (s),Median TPOT (s),P99 TPOT (s),Std TPOT (s),Mean Interactivity (tok/s/user),Median Interactivity (tok/s/user),P99 Interactivity (tok/s/user),Std Interactivity (tok/s/user),Mean ITL (s),Median ITL (s),P99 ITL (s),Std ITL (s),Mean E2E Latency (s),Median E2E Latency (s),P99 E2E Latency (s),Std E2E Latency (s),Disaggregated,Num Prefill Chips,Num Decode Chips,Spec Decoding,EP,DP Attention,Is Multinode,Run URL
Kimi-K2.5,8192,1024,b200,b200_vllm,vllm,fp4,4,256,2026-08-22,2533951.1896638814,29.347635008019033,4333.056534325237,481.58919030211564,3851.4673440231218,86.51879215195623,92.10746498250228,100.24564651406773,16.6828746332877,0.034023468622156716,0.03407429592629038,0.04353522039077329,0.00261619533828557,29.39147713319216,29.347635008019033,22.96990783609164,382.2344552663694,1.073398731218309,0.8600978114991449,2.575536106452637,0.5546584954585213,117.90815754336813,122.35032742998737,131.48738395313237,16.902776257644298,false,,,none,4,false,false,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/31147925932/attempts/1
Kimi-K2.5,8192,1024,b200,b200_vllm,vllm,fp4,4,512,2026-08-22,2531751.833134203,29.242302774987067,4329.295634659487,481.02896537185666,3848.266669287631,202.8654884137697,215.33213264800725,219.8410472469771,38.15297567643123,0.03419303778204724,0.03419703323964514,0.04201526154366304,0.0021565148583013974,29.245719739035334,29.242302774987067,23.80087528339628,463.7111569857955,1.0783442284165985,0.8600911870016716,2.523074104799889,0.5311698600517415,234.4114798320561,245.50921022097464,255.49518876475224,38.315748088439285,false,,,none,4,false,false,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/31147925932/attempts/1
Kimi-K2.5,8192,1024,b200,b200_vllm,vllm,fp4,8,1,2026-08-22,108408.37540336714,170.62007394312576,185.37832193975783,20.7091422379265,164.66917970183133,0.16792466771439649,0.1644600095169153,0.18027138475095852,0.007293139073061075,0.0058611665814043085,0.005860975071041984,0.005867371022141511,0.0000038853282309409875,170.6144990269846,170.62007394312576,170.43408303758733,257378.5123317136,0.18463805458326904,0.18756472400855273,0.1880143377929926,0.018542513181196346,5.614747073117178,5.479656734038144,6.087937964483281,0.2941223587404422,false,,,none,1,false,false,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/31147925932/attempts/1
Kimi-K2.5,8192,1024,b200,b200_vllm,vllm,fp4,8,2,2026-08-22,201911.3784770354,160.13036714746752,345.26845719573055,38.74428721658981,306.52416997914077,0.1931622001953656,0.1835836734971963,0.3073698243132093,0.03330786292258671,0.006231818887991753,0.006244911679238694,0.006385838766092938,0.00008177177132801,160.46679436190368,160.13036714746752,156.59649994762273,12229.159082157013,0.1957330282438085,0.19468285603215918,0.34293518504127857,0.035368989385069695,6.016219607152744,6.08254177699564,6.598555541007081,0.37818558640905264,false,,,none,1,false,false,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/31147925932/attempts/1
Kimi-K2.5,8192,1024,b200,b200_vllm,vllm,fp4,8,4,2026-08-22,343583.16029146186,136.9739657845885,587.5272040983997,65.35775112010278,522.1694529782969,0.2116461396464729,0.18900069600204006,0.608093241767492,0.09170422751114414,0.007252249338427147,0.007300657422540029,0.007588001192268196,0.00018742085916831363,137.88825415879566,136.9739657845885,131.7870114489375,5335.585400886185,0.22850760858522523,0.21754744503414258,0.3737381973559968,0.053363394624756595,6.878355449825176,6.8219119340064935,7.852065967368544,0.49037076093372756,false,,,none,1,false,false,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/31147925932/attempts/1
Kimi-K2.5,8192,1024,b200,b200_vllm,vllm,fp4,8,8,2026-08-22,549923.0224458206,110.274013666663,940.3683683823533,105.71326509264618,834.6551032897071,0.25555370803776895,0.19002013103454374,1.2359209518437264,0.21393279253905678,0.009034124083098805,0.00906831960449727,0.009609501858730697,0.0003650155292761061,110.69141743036464,110.274013666663,104.06366684777231,2739.6094680771157,0.28480084376085174,0.25636699949973263,0.5568173234141431,0.09085377851777478,8.621578313138889,8.641715054021915,10.359796745530328,0.7746646267756986,false,,,none,1,false,false,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/31147925932/attempts/1
Kimi-K2.5,8192,1024,b200,b200_vllm,vllm,fp4,8,16,2026-08-22,837747.9257586636,82.96574214942261,1432.5489530473146,158.73558826607132,1273.8133647812433,0.3224611110330443,0.19176871300442144,2.309429605377372,0.42488080953747476,0.011913928236634886,0.012053167658031484,0.012977559253786637,0.0006937953985772471,83.9353721239513,82.96574214942261,77.05609201577843,1441.3471205641904,0.37566367123906236,0.31244804902235046,0.8714812489436007,0.1449588999948631,11.223751098063804,11.182013915997231,13.376745242984033,1.0643708006847672,false,,,none,1,false,false,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/31147925932/attempts/1
Kimi-K2.5,8192,1024,b200,b200_vllm,vllm,fp4,8,32,2026-08-22,1175566.9262915067,57.8648144043954,2010.2194439584764,224.79846416429058,1785.4209797941858,0.48231213460549044,0.20417505150544457,4.753599908664475,0.8770422110141547,0.01687532538113683,0.017281659161841885,0.019125421338638263,0.0014231264677867974,59.25811665343034,57.8648144043954,52.28642978859468,702.6782388182052,0.5322109492281846,0.3948845869745128,1.363603257567156,0.2689364341607331,16.107692767992557,16.18860245399992,20.57666204017354,1.8909448152830657,false,,,none,1,false,false,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/31147925932/attempts/1
Kimi-K2.5,8192,1024,b200,b200_vllm,vllm,fp4,8,64,2026-08-22,1589179.8963379485,38.58800133623252,2717.497622737892,301.4826446799421,2416.01497805795,0.789746244834123,0.22610287150018848,9.178996147303263,1.7536620478120963,0.02525587918204819,0.025914791265984585,0.029265321666914486,0.0025497541484155554,39.59474120032999,38.58800133623252,34.170135267316624,392.19467516952983,0.7961905192732398,0.5233318879909348,2.548471595402807,0.4844537008194259,24.08205089976709,24.209486513005686,33.67513886683621,3.385833966565673,false,,,none,1,false,false,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/31147925932/attempts/1
Kimi-K2.5,8192,1024,b200,b200_vllm,vllm,fp4,8,128,2026-08-22,1913185.9600909112,23.203438670663257,3271.547991755458,362.37464921817167,2909.1733425372863,1.3773698308199982,0.35374559750198387,18.62343436580676,3.55634915643122,0.04207136249257186,0.043097060491483416,0.04857235953218181,0.004561586508782987,23.76913750241772,23.203438670663257,20.587840690289013,219.22197421326464,1.3264421509920301,1.024062252487056,3.8081518246955035,0.7913427602014217,40.107407903500686,39.961959175008815,58.7272386008344,6.217891782608882,false,,,none,1,false,false,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/31147925932/attempts/1
